cid	kmname	str
357	urinary_tract_family_history	Urinary Tract Disorders History and Symptoms _family_history
357	urinary_tract_family_history	urinary tract disorder history and symptom _family_history
357	urinary_tract_family_history	urinary tract disorder history symptom _family_history
357	urinary_tract_family_history	urinary tract family history
357	urinary_tract_family_history	urinary_tract_family_history
358	genital_family_history	genital family history
358	genital_family_history	Reproductive
358	genital_family_history	reproductive
358	genital_family_history	genital_family_history
358	genital_family_history	genitalia
358	genital_family_history	reproductive system
359	neuro_psych__family_history	neuropsychiatric
359	neuro_psych__family_history	neuro_psych__family_history
359	neuro_psych__family_history	neuro_psychfamily_history
359	neuro_psych__family_history	neuropsychiatric system
359	neuro_psych__family_history	neuro psych  family history
359	neuro_psych__family_history	neuro psych family history
360	psychiatric_family_history	psyc
360	psychiatric_family_history	psychiatric_family_history
360	psychiatric_family_history	psych
360	psychiatric_family_history	psychiatric
360	psychiatric_family_history	psychiatric family history
360	psychiatric_family_history	behavioral
361	neurological_family_history	neurologically
361	neurological_family_history	neurological
361	neurological_family_history	neuro
361	neurological_family_history	neurologic system
361	neurological_family_history	neurological_family_history
361	neurological_family_history	neurologic
361	neurological_family_history	Neurological Deficits History
361	neurological_family_history	neurological deficit history
361	neurological_family_history	neurological family history
362	seizure_family_history	seizure_family_history
362	seizure_family_history	seizures
362	seizure_family_history	seizure
362	seizure_family_history	seizure family history
363	musculoskeletal_rheumatological_family_history	musculoskeletal rheumatological family history
363	musculoskeletal_rheumatological_family_history	joint problems
363	musculoskeletal_rheumatological_family_history	joint problem
363	musculoskeletal_rheumatological_family_history	musculoskeletal_rheumatological_family_history
363	musculoskeletal_rheumatological_family_history	musculoskeletal/rheumatologic
363	musculoskeletal_rheumatological_family_history	musculoskeletal rheumatologic
364	musculoskeletal_family_history	musc/skel
364	musculoskeletal_family_history	musc skel
364	musculoskeletal_family_history	musculoskeletal
364	musculoskeletal_family_history	skeletal
364	musculoskeletal_family_history	ortho
364	musculoskeletal_family_history	ms
364	musculoskeletal_family_history	musculoskeletal system
364	musculoskeletal_family_history	musculoskeletal family history
364	musculoskeletal_family_history	musc
364	musculoskeletal_family_history	musculoskeletal_family_history
364	musculoskeletal_family_history	orthopedic
365	rheumatological_family_history	rheumatological_family_history
365	rheumatological_family_history	rheumatological
365	rheumatological_family_history	rheumatological family history
365	rheumatological_family_history	rheum
366	immunologic_family_history	immune system
366	immunologic_family_history	immunologic family history
366	immunologic_family_history	all/imm
366	immunologic_family_history	all imm
366	immunologic_family_history	immunological
366	immunologic_family_history	immun
366	immunologic_family_history	immunology
366	immunologic_family_history	allergic & immunologic
366	immunologic_family_history	allergic immunologic
366	immunologic_family_history	allergies/immunology
366	immunologic_family_history	allergy immunology
366	immunologic_family_history	immunologic_family_history
367	allergies_family_history	atopy
367	allergies_family_history	allergies_family_history
367	allergies_family_history	seasonal allergies
367	allergies_family_history	seasonal allergy
367	allergies_family_history	allergies family history
367	allergies_family_history	allergy family history
367	allergies_family_history	Allergy Symptoms
367	allergies_family_history	allergy symptom
367	allergies_family_history	allergies
367	allergies_family_history	allergy
368	endocrine_metabolic_family_history	endocrine_metabolic_family_history
368	endocrine_metabolic_family_history	endocrine/metabolic
368	endocrine_metabolic_family_history	endocrine metabolic
368	endocrine_metabolic_family_history	endocrine metabolic family history
369	endocrine_family_history	endocrine_family_history
369	endocrine_family_history	endocrine system
369	endocrine_family_history	endocrine family history
369	endocrine_family_history	endocrine
369	endocrine_family_history	endocrine diseases
369	endocrine_family_history	endocrine disease
369	endocrine_family_history	endo
370	metabolic_family_history	metabolic family history
370	metabolic_family_history	metabolic
370	metabolic_family_history	metabolic_family_history
370	metabolic_family_history	Metabolic Disorders History
370	metabolic_family_history	metabolic disorder history
370	metabolic_family_history	meta
371	infectious_disease_family_history	infectious disease
371	infectious_disease_family_history	ID
371	infectious_disease_family_history	id
371	infectious_disease_family_history	infectious
371	infectious_disease_family_history	infectious_disease_family_history
371	infectious_disease_family_history	infectious disease family history
372	oncology_family_history	oncology family history
372	oncology_family_history	cancer history
372	oncology_family_history	oncology_family_history
372	oncology_family_history	oncologic
372	oncology_family_history	oncology
372	oncology_family_history	neoplasms
372	oncology_family_history	neoplasm
372	oncology_family_history	cancers
372	oncology_family_history	cancer
373	pulmonary_family_history	resp
373	pulmonary_family_history	pulmary system
373	pulmonary_family_history	pulmonary family history
373	pulmonary_family_history	pulmonary diseases
373	pulmonary_family_history	pulmonary disease
373	pulmonary_family_history	respiratory
373	pulmonary_family_history	pulm
373	pulmonary_family_history	pulmonary
373	pulmonary_family_history	lungs
373	pulmonary_family_history	lung
373	pulmonary_family_history	pulmonary_family_history
374	past_medical_history	past medical history and review of systems
374	past_medical_history	past medical history and review of system
374	past_medical_history	past medical history review system
374	past_medical_history	past medical problems
374	past_medical_history	past medical problem
374	past_medical_history	history of past illness
374	past_medical_history	history past illness
374	past_medical_history	past medical history
374	past_medical_history	previous medical history
374	past_medical_history	past history
374	past_medical_history	illnesses
374	past_medical_history	illness
374	past_medical_history	pmh
374	past_medical_history	hematology/oncology history
374	past_medical_history	hematology oncology history
374	past_medical_history	pmhx
374	past_medical_history	history of general health
374	past_medical_history	history general health
374	past_medical_history	past medical history/past surgical history
374	past_medical_history	past medical history past surgical history
374	past_medical_history	medical problems
374	past_medical_history	medical problem
374	past_medical_history	significant past medical history
374	past_medical_history	history of major illnesses and injuries
374	past_medical_history	history of major illness and injury
374	past_medical_history	history major illness injury
374	past_medical_history	past med history
374	past_medical_history	past hospitalization history
374	past_medical_history	medical history
374	past_medical_history	past medical and surgical history
374	past_medical_history	past medical surgical history
374	past_medical_history	brief medical history
374	past_medical_history	Past Medical History/Problem List
374	past_medical_history	past medical history problem list
374	past_medical_history	past medical issues
374	past_medical_history	past medical issue
374	past_medical_history	past_medical_history
374	past_medical_history	past medical history/surgical history
374	past_medical_history	past medical history surgical history
374	past_medical_history	past infectious history
374	past_medical_history	past medical history/family history
374	past_medical_history	past medical history family history
374	past_medical_history	Known Significant Medical Diagnoses and Conditions
374	past_medical_history	past medical history and review of systems
374	past_medical_history	past medical history and review of system
374	past_medical_history	past medical history review system
374	past_medical_history	past medical problems
374	past_medical_history	past medical problem
374	past_medical_history	history of past illness
374	past_medical_history	history past illness
374	past_medical_history	past medical history
374	past_medical_history	previous medical history
374	past_medical_history	past history
374	past_medical_history	illnesses
374	past_medical_history	illness
374	past_medical_history	pmh
374	past_medical_history	hematology/oncology history
374	past_medical_history	hematology oncology history
374	past_medical_history	pmhx
374	past_medical_history	history of general health
374	past_medical_history	history general health
374	past_medical_history	past medical history/past surgical history
374	past_medical_history	past medical history past surgical history
374	past_medical_history	medical problems
374	past_medical_history	medical problem
374	past_medical_history	significant past medical history
374	past_medical_history	history of major illnesses and injuries
374	past_medical_history	history of major illness and injury
374	past_medical_history	history major illness injury
374	past_medical_history	past med history
374	past_medical_history	past hospitalization history
374	past_medical_history	medical history
374	past_medical_history	past medical and surgical history
374	past_medical_history	past medical surgical history
374	past_medical_history	brief medical history
374	past_medical_history	Past Medical History/Problem List
374	past_medical_history	past medical history problem list
374	past_medical_history	past medical issues
374	past_medical_history	past medical issue
374	past_medical_history	past_medical_history
374	past_medical_history	past medical history/surgical history
374	past_medical_history	past medical history surgical history
374	past_medical_history	past infectious history
374	past_medical_history	past medical history/family history
374	past_medical_history	past medical history family history
374	past_medical_history	Known Significant Medical Diagnoses and Conditions
374	past_medical_history	past medical history and review of systems
374	past_medical_history	past medical history and review of system
374	past_medical_history	past medical history review system
374	past_medical_history	past medical problems
374	past_medical_history	past medical problem
374	past_medical_history	history of past illness
374	past_medical_history	history past illness
374	past_medical_history	past medical history
374	past_medical_history	previous medical history
374	past_medical_history	past history
374	past_medical_history	illnesses
374	past_medical_history	illness
374	past_medical_history	pmh
374	past_medical_history	hematology/oncology history
374	past_medical_history	hematology oncology history
374	past_medical_history	pmhx
374	past_medical_history	history of general health
374	past_medical_history	history general health
374	past_medical_history	past medical history/past surgical history
374	past_medical_history	past medical history past surgical history
374	past_medical_history	medical problems
374	past_medical_history	medical problem
374	past_medical_history	significant past medical history
374	past_medical_history	history of major illnesses and injuries
374	past_medical_history	history of major illness and injury
374	past_medical_history	history major illness injury
374	past_medical_history	past med history
374	past_medical_history	past hospitalization history
374	past_medical_history	medical history
374	past_medical_history	past medical and surgical history
374	past_medical_history	past medical surgical history
374	past_medical_history	brief medical history
374	past_medical_history	Past Medical History/Problem List
374	past_medical_history	past medical history problem list
374	past_medical_history	past medical issues
374	past_medical_history	past medical issue
374	past_medical_history	past_medical_history
374	past_medical_history	past medical history/surgical history
374	past_medical_history	past medical history surgical history
374	past_medical_history	past infectious history
374	past_medical_history	past medical history/family history
374	past_medical_history	past medical history family history
374	past_medical_history	Known Significant Medical Diagnoses and Conditions
374	past_medical_history	past medical history and review of systems
374	past_medical_history	past medical history and review of system
374	past_medical_history	past medical history review system
374	past_medical_history	past medical problems
374	past_medical_history	past medical problem
374	past_medical_history	history of past illness
374	past_medical_history	history past illness
374	past_medical_history	past medical history
374	past_medical_history	previous medical history
374	past_medical_history	past history
374	past_medical_history	illnesses
374	past_medical_history	illness
374	past_medical_history	pmh
374	past_medical_history	hematology/oncology history
374	past_medical_history	hematology oncology history
374	past_medical_history	pmhx
374	past_medical_history	history of general health
374	past_medical_history	history general health
374	past_medical_history	past medical history/past surgical history
374	past_medical_history	past medical history past surgical history
374	past_medical_history	medical problems
374	past_medical_history	medical problem
374	past_medical_history	significant past medical history
374	past_medical_history	history of major illnesses and injuries
374	past_medical_history	history of major illness and injury
374	past_medical_history	history major illness injury
374	past_medical_history	past med history
374	past_medical_history	past hospitalization history
374	past_medical_history	medical history
374	past_medical_history	past medical and surgical history
374	past_medical_history	past medical surgical history
374	past_medical_history	brief medical history
374	past_medical_history	Past Medical History/Problem List
374	past_medical_history	past medical history problem list
374	past_medical_history	past medical issues
374	past_medical_history	past medical issue
374	past_medical_history	past_medical_history
374	past_medical_history	past medical history/surgical history
374	past_medical_history	past medical history surgical history
374	past_medical_history	past infectious history
374	past_medical_history	past medical history/family history
374	past_medical_history	past medical history family history
374	past_medical_history	Known Significant Medical Diagnoses and Conditions
375	chronic_illnesses	chronic_illnesses
375	chronic_illnesses	chronic illnesses
375	chronic_illnesses	chronic illness
376	cardiac_history	CV history
376	cardiac_history	cv history
376	cardiac_history	cardiac history
376	cardiac_history	cardiovascular history
376	cardiac_history	cardiac_history
376	cardiac_history	coronary history
376	cardiac_history	past cardiac history
376	cardiac_history	cards history
377	hemetologic_oncologic_history	hemetologic_oncologic_history
377	hemetologic_oncologic_history	hematology/oncology history
377	hemetologic_oncologic_history	hematology oncology history
377	hemetologic_oncologic_history	heme/onc history
377	hemetologic_oncologic_history	heme onc history
377	hemetologic_oncologic_history	heme/onc past medical
377	hemetologic_oncologic_history	heme onc past medical
377	hemetologic_oncologic_history	hemetologic oncologic history
378	oncologic_history	oncologic history
378	oncologic_history	cancer history
378	oncologic_history	onc history
378	oncologic_history	oncologic_history
378	oncologic_history	oncology history
379	hematologic_history	hematologic history
379	hematologic_history	hematologic_history
379	hematologic_history	heme history
380	gi_history	Previous Gastrointestinal Disorders History
380	gi_history	previous gastrointestinal disorder history
380	gi_history	gi_history
380	gi_history	past GI history
380	gi_history	past gi history
380	gi_history	gi history
380	gi_history	GI history
380	gi_history	gi history
381	past_surgical_history	operative history
381	past_surgical_history	history of surgical procedures
381	past_surgical_history	history of surgical procedure
381	past_surgical_history	history surgical procedure
381	past_surgical_history	pshx
381	past_surgical_history	psh
381	past_surgical_history	Previous Surgery History
381	past_surgical_history	previous surgery history
381	past_surgical_history	past significant procedure
381	past_surgical_history	past surgical history
381	past_surgical_history	surgeries
381	past_surgical_history	surgery
381	past_surgical_history	Previous Operative Procedures
381	past_surgical_history	previous operative procedure
381	past_surgical_history	surgical history
381	past_surgical_history	Prior surgical procedures
381	past_surgical_history	prior surgical procedure
381	past_surgical_history	past surg hx
381	past_surgical_history	past_surgical_history
381	past_surgical_history	Known Significant Operative and Invasive Procedures
382	past_anesthesia_history	anesthesia history
382	past_anesthesia_history	past anesthesia history
382	past_anesthesia_history	past_anesthesia_history
382	past_anesthesia_history	anesthesia hx
383	past_gi_surgery	past_gi_surgery
383	past_gi_surgery	Previous Gastrointestinal Surgery
383	past_gi_surgery	previous gastrointestinal surgery
383	past_gi_surgery	past gi surgery
384	blood_products	blood products
384	blood_products	blood product
384	blood_products	History of Blood Transfusions
384	blood_products	history of blood transfusion
384	blood_products	history blood transfusion
384	blood_products	transfusions
384	blood_products	transfusion
384	blood_products	prior blood products
384	blood_products	prior blood product
384	blood_products	blood_products
384	blood_products	prior tranfusions
384	blood_products	Blood Products Administration History
384	blood_products	blood product administration history
385	radiation_therapy_or_exposure_history	radiation_therapy_or_exposure_history
385	radiation_therapy_or_exposure_history	radiation therapy or exposure history
385	radiation_therapy_or_exposure_history	radiation therapy exposure history
386	invasive_diagnostic_procedure_history	invasive_diagnostic_procedure_history
386	invasive_diagnostic_procedure_history	invasive diagnostic procedure history
387	trauma_history	trauma history
387	trauma_history	Trauma History
387	trauma_history	trauma history
387	trauma_history	trauma_history
388	injury_history	injury history
388	injury_history	injuries
388	injury_history	injury
388	injury_history	past injuries
388	injury_history	past injury
388	injury_history	injury_history
389	prior_hosptilization	history of hospitalizations
389	prior_hosptilization	history of hospitalization
389	prior_hosptilization	history hospitalization
389	prior_hosptilization	hospitalizations
389	prior_hosptilization	hospitalization
389	prior_hosptilization	prior hosptilization
389	prior_hosptilization	prior hospitalizations
389	prior_hosptilization	prior hospitalization
389	prior_hosptilization	prior_hosptilization
390	reproductive_history	OBSTETRIC AND GYNECOLOGIC
390	reproductive_history	obstetric and gynecologic
390	reproductive_history	obstetric gynecologic
390	reproductive_history	reproductive_history
390	reproductive_history	OBSTETRIC/PRENATAL HISTORY
390	reproductive_history	obstetric prenatal history
390	reproductive_history	reproductive history
390	reproductive_history	ob/gyn history
390	reproductive_history	ob gyn history
390	reproductive_history	PAST OB HISTORY
390	reproductive_history	PAST OB/GYN HISTORY
390	reproductive_history	past ob gyn history
391	obstetric_history	pregnancy history
391	obstetric_history	ob history
391	obstetric_history	obstetric_history
391	obstetric_history	obstetric history
391	obstetric_history	previous pregnancies
391	obstetric_history	previous pregnancy
391	obstetric_history	delivery history
391	obstetric_history	pregnancies
391	obstetric_history	pregnancy
391	obstetric_history	past ob hx
391	obstetric_history	history of pregnancies
391	obstetric_history	history of pregnancy
391	obstetric_history	history pregnancy
391	obstetric_history	prior pregnancies
391	obstetric_history	prior pregnancy
392	type_of_delivery	type of delivery
392	type_of_delivery	type delivery
392	type_of_delivery	type_of_delivery
393	delivery_complications	delivery complications
393	delivery_complications	delivery complication
393	delivery_complications	Complications of Labor
393	delivery_complications	complication of labor
393	delivery_complications	complication labor
393	delivery_complications	delivery_complications
394	pregnancy_complications	pregnancy complications
394	pregnancy_complications	pregnancy complication
394	pregnancy_complications	pregnancy_complications
394	pregnancy_complications	Complications of pregnancy
394	pregnancy_complications	complication of pregnancy
394	pregnancy_complications	complication pregnancy
395	gynecologic_history	gynecologic_history
395	gynecologic_history	gynecologic history
395	gynecologic_history	past gyn hx
395	gynecologic_history	gyn history
396	menstrual_history	menstrual history
396	menstrual_history	menstrual_history
397	menarche_age	age at menarche
397	menarche_age	age menarche
397	menarche_age	menarche age
397	menarche_age	menstrual onset
397	menarche_age	menarche
397	menarche_age	menarche_age
398	menopause_age	menopause_age
398	menopause_age	menopause age
399	contraception_history	contraception_history
399	contraception_history	contraception history
400	sexual_transmitted_disease_history	sexual_transmitted_disease_history
400	sexual_transmitted_disease_history	sexual transmitted disease history
400	sexual_transmitted_disease_history	sexual transmit disease history
400	sexual_transmitted_disease_history	std
400	sexual_transmitted_disease_history	history of std
400	sexual_transmitted_disease_history	history std
400	sexual_transmitted_disease_history	stds
401	previous_pap_history	pap smear
401	previous_pap_history	previous pap smear
401	previous_pap_history	previous pap history
401	previous_pap_history	paps and treatment
401	previous_pap_history	pap and treatment
401	previous_pap_history	pap treatment
401	previous_pap_history	Her last Pap smear was
401	previous_pap_history	her last pap smear be
401	previous_pap_history	last pap
401	previous_pap_history	previous_pap_history
402	breast_history	Her last breast exam was
402	breast_history	her last breast exam be
402	breast_history	last breast exam
402	breast_history	breast history
402	breast_history	breast_history
403	genetic_diseases	history of genetic diseases
403	genetic_diseases	history of genetic disease
403	genetic_diseases	history genetic disease
403	genetic_diseases	genetic_diseases
403	genetic_diseases	genetic diseases
403	genetic_diseases	genetic disease
404	outpatient_history	history of outpatient visits
404	outpatient_history	history of out patient visit
404	outpatient_history	history out patient visit
404	outpatient_history	outpatient history
404	outpatient_history	out patient history
404	outpatient_history	outpatient_history
405	growth_development	growth_development
405	growth_development	development history
405	growth_development	developmental history
405	growth_development	history of growth+development
405	growth_development	history of growth development
405	growth_development	history growth development
405	growth_development	growth and development
405	growth_development	growth development
405	growth_development	developmental screen
405	growth_development	growth development
406	social_development	social_development
406	social_development	social development
407	fine_motor_development	fine motor development
407	fine_motor_development	fine_motor_development
407	fine_motor_development	fine motor
408	gross_motor_development	gross_motor_development
408	gross_motor_development	Gross Motor
408	gross_motor_development	gross motor
408	gross_motor_development	gross motor development
409	speech_development	speech_development
409	speech_development	speech development
409	speech_development	speech language
410	prenatal_development	prenatal_development
410	prenatal_development	prenatal development
411	childhood_disease_history	childhood_disease_history
411	childhood_disease_history	history of childhood diseases
411	childhood_disease_history	history of childhood disease
411	childhood_disease_history	history childhood disease
411	childhood_disease_history	childhood disease history
412	congenital_disease_history	congenital disease history
412	congenital_disease_history	congenital_disease_history
412	congenital_disease_history	birth defects
412	congenital_disease_history	birth defect
412	congenital_disease_history	congenital problems
412	congenital_disease_history	congenital problem
413	cognitive_history	cortical history
413	cognitive_history	cognitive_history
413	cognitive_history	history of cognitive function
413	cognitive_history	history cognitive function
413	cognitive_history	cognitive history
414	seizure_history	seizure history
414	seizure_history	seizure_history
414	seizure_history	auras/seizures history
414	seizure_history	aura seizure history
415	blood_type	blood_type
415	blood_type	blood type
416	psychiatric_history	psychiatric history
416	psychiatric_history	psychiatric_history
416	psychiatric_history	Psychosocial problems
416	psychiatric_history	psychosocial problem
416	psychiatric_history	Prior treatment for psychological problems
416	psychiatric_history	prior treatment for psychological problem
416	psychiatric_history	prior treatment psychological problem
416	psychiatric_history	History of psychiatric treatment
416	psychiatric_history	history of psychiatric treatment
416	psychiatric_history	history psychiatric treatment
417	vascular_medical_history	vascular
417	vascular_medical_history	vascular_medical_history
417	vascular_medical_history	vascular medical history
418	health_maintenance	health screening
418	health_maintenance	health care maintenance
418	health_maintenance	health_maintenance
418	health_maintenance	health maintenance
418	health_maintenance	Preventive Care interventions (optional)
419	immunizations	history of immunization
419	immunizations	history immunization
419	immunizations	immun
419	immunizations	immunizations
419	immunizations	immunization
419	immunizations	immunization status
419	immunizations	vaccinations
419	immunizations	vaccination
419	immunizations	immunizations
419	immunizations	history of immunization
419	immunizations	history immunization
419	immunizations	immun
419	immunizations	immunizations
419	immunizations	immunization
419	immunizations	immunization status
419	immunizations	vaccinations
419	immunizations	vaccination
419	immunizations	immunizations
420	childhood_immunizations	childhood immunizations
420	childhood_immunizations	childhood immunization
420	childhood_immunizations	childhood_immunizations
421	screening_tests	screening_tests
421	screening_tests	screening tests
421	screening_tests	screening test
421	screening_tests	screening
422	cancer_screening_tests	cancer screening tests
422	cancer_screening_tests	cancer screening test
422	cancer_screening_tests	cancer_screening_tests
423	breast_cancer_screening	breast cancer screening
423	breast_cancer_screening	breast_cancer_screening
424	ovarian_cancer_screening	ovarian_cancer_screening
424	ovarian_cancer_screening	ovarian cancer screening
425	colon_cancer_screening	colorectal cancer screening
425	colon_cancer_screening	colon_cancer_screening
425	colon_cancer_screening	colon cancer screening
426	prostate_cancer_screening	His last PSA was
426	prostate_cancer_screening	his last psa be
426	prostate_cancer_screening	prostate screening
426	prostate_cancer_screening	prostate_cancer_screening
426	prostate_cancer_screening	prostate cancer screening
427	diabetes_screen	diabetes screen
427	diabetes_screen	diabetes_screen
428	lipid_screen	lipid_screen
428	lipid_screen	lipid screen
428	lipid_screen	cholesterol screening
429	osteoporosis_screen	osteoporosis_screen
429	osteoporosis_screen	bone density
429	osteoporosis_screen	bone mineral density screen
429	osteoporosis_screen	osteoporosis screen
430	medications	drugs
430	medications	drug
430	medications	MEDICATIONS/HERBS/SUPPLEMENTS
430	medications	medication herb supplement
430	medications	Medications administered
430	medications	medication administer
430	medications	meds
430	medications	med
430	medications	medications
430	medications	medication
430	medications	premedications
430	medications	premedication
430	medications	premorbid medications
430	medications	premorbid medication
430	medications	medications at vanderbilt
430	medications	medication at vanderbilt
430	medications	medication vanderbilt
430	medications	Medications Known to be Prescribed for or Used by the Patient
430	medications	Medications Known to be Prescribed for or Used by the Patient (with dose, route, and frequency)
430	medications	medications
430	medications	most recent medication
431	medication_history	medication_history
431	medication_history	History of medication treatment
431	medication_history	history of medication treatment
431	medication_history	history medication treatment
431	medication_history	medication history
431	medication_history	history of medication use
431	medication_history	history medication use
432	medications_by_situation	medications_by_situation
432	medications_by_situation	medications by situation
432	medications_by_situation	medication by situation
432	medications_by_situation	medication situation
433	medications_outside_hospital	medications outside hospital
433	medications_outside_hospital	medication outside hospital
433	medications_outside_hospital	MEDICATION AT OUTSIDE HOSPTIAL
433	medications_outside_hospital	medication at outside hosptial
433	medications_outside_hospital	medication outside hosptial
433	medications_outside_hospital	medications_outside_hospital
434	medications_at_transfer	medications_at_transfer
434	medications_at_transfer	medications at transfer
434	medications_at_transfer	medication at transfer
434	medications_at_transfer	medication transfer
435	admission_medications	medications at admission
435	admission_medications	medication at admission
435	admission_medications	medication admission
435	admission_medications	medications during admission
435	admission_medications	medication during admission
435	admission_medications	medications on admission
435	admission_medications	medication on admission
435	admission_medications	medication admission
435	admission_medications	admission_medications
435	admission_medications	admission medications
435	admission_medications	admission medication
435	admission_medications	pre-admission medications
435	admission_medications	preadmission medication
436	inpatient_medications	inpatient_medications
436	inpatient_medications	inpatient medications
436	inpatient_medications	inpatient medication
436	inpatient_medications	INPATIENT MEDICATIONS
436	inpatient_medications	inpatient medication
436	inpatient_medications	INHOSPITAL MEDICATIONS
436	inpatient_medications	inhospital medication
437	outpatient_medications	outpatient medications
437	outpatient_medications	out patient medication
437	outpatient_medications	home meds
437	outpatient_medications	home med
437	outpatient_medications	medications at home
437	outpatient_medications	medication at home
437	outpatient_medications	medication home
437	outpatient_medications	medications prior to admission
437	outpatient_medications	medication prior to admission
437	outpatient_medications	medication prior admission
437	outpatient_medications	outpatient_medications
438	discharge_medications	discharge medications include
438	discharge_medications	discharge medication include
438	discharge_medications	discharge medication
438	discharge_medications	discharge medications
438	discharge_medications	discharge medication
438	discharge_medications	discharge medications included
438	discharge_medications	discharge medication included
438	discharge_medications	discharge_medications
439	current_medications	Current or Recent Drug Administration History
439	current_medications	current or recent drug administration history
439	current_medications	current recent drug administration history
439	current_medications	present medications
439	current_medications	present medication
439	current_medications	current medications
439	current_medications	current medication
439	current_medications	current_medications
439	current_medications	current meds
439	current_medications	current med
440	current_antibiotics	current_antibiotics
440	current_antibiotics	Current or Recent Antibiotic Administration History
440	current_antibiotics	current or recent antibiotic administration history
440	current_antibiotics	current recent antibiotic administration history
440	current_antibiotics	current antibiotics
440	current_antibiotics	current antibiotic
441	postoperative_medications	postoperative medications
441	postoperative_medications	postoperative medication
441	postoperative_medications	postoperative_medications
442	labor_medications	Labor Medications
442	labor_medications	labor medication
442	labor_medications	labor_medications
442	labor_medications	labor medications
442	labor_medications	labor medication
443	medications_by_type	medications_by_type
443	medications_by_type	medications by type
443	medications_by_type	medication by type
443	medications_by_type	medication type
444	immunosuppressants_medications	Cytotoxic or Immunosuppressive Medication Administration History
444	immunosuppressants_medications	cytotoxic or immunosuppressive medication administration history
444	immunosuppressants_medications	cytotoxic immunosuppressive medication administration history
444	immunosuppressants_medications	immunosuppressants_medications
444	immunosuppressants_medications	immunosuppressants medications
444	immunosuppressants_medications	immunosuppressant medication
445	chemotherapeutics	chemotherapeutics
445	chemotherapeutics	chemotherapeutic regimen
445	chemotherapeutics	chemotherapy
445	chemotherapeutics	chemo regimen
445	chemotherapeutics	chemotherapeutics
446	antibiotics	antibiotics
446	antibiotics	antibiotic
446	antibiotics	antibiotics
447	alternative_therapies	alternative therapies
447	alternative_therapies	alternative therapy
447	alternative_therapies	alternative_therapies
447	alternative_therapies	supplements
447	alternative_therapies	supplement
447	alternative_therapies	Use of herbal supplements
447	alternative_therapies	use of herbal supplement
447	alternative_therapies	use herbal supplement
447	alternative_therapies	complimentary medicine
447	alternative_therapies	herbals
447	alternative_therapies	herbal
447	alternative_therapies	alternative medicine
448	allergies_and_adverse_reactions	Allergic Disorder History
448	allergies_and_adverse_reactions	allergic disorder history
448	allergies_and_adverse_reactions	allergy
448	allergies_and_adverse_reactions	ALLERGIES/ADVERSE REACTIONS
448	allergies_and_adverse_reactions	allergy adverse reaction
448	allergies_and_adverse_reactions	allergies and adverse reactions
448	allergies_and_adverse_reactions	allergy and adverse reaction
448	allergies_and_adverse_reactions	allergy adverse reaction
448	allergies_and_adverse_reactions	adverse reactions
448	allergies_and_adverse_reactions	adverse reaction
448	allergies_and_adverse_reactions	allergies
448	allergies_and_adverse_reactions	allergy
448	allergies_and_adverse_reactions	allergies_and_adverse_reactions
448	allergies_and_adverse_reactions	history of allergies
448	allergies_and_adverse_reactions	history of allergy
448	allergies_and_adverse_reactions	history allergy
448	allergies_and_adverse_reactions	Known Adverse and Allergic Drug Reactions (if none, enter NKA)
449	medication_allergies	medication_allergies
449	medication_allergies	drug allergy
449	medication_allergies	medication allergy
449	medication_allergies	medication allergies
449	medication_allergies	medication allergy
450	food_allergies	food allergies
450	food_allergies	food allergy
450	food_allergies	food_allergies
451	environmental_allergies	environmental allergies
451	environmental_allergies	environmental allergy
451	environmental_allergies	allergy to environmental allergens
451	environmental_allergies	allergy to environmental allergen
451	environmental_allergies	allergy environmental allergen
451	environmental_allergies	environmental_allergies
452	contrast_allergies	contrast_allergies
452	contrast_allergies	contrast allergies
452	contrast_allergies	contrast allergy
452	contrast_allergies	contrast allergy
453	latex_allergy	latex allergy
453	latex_allergy	latex_allergy
454	review_of_systems	systems review
454	review_of_systems	system review
454	review_of_systems	history of symptoms & diseases
454	review_of_systems	history of symptom disease
454	review_of_systems	history symptom disease
454	review_of_systems	review of symptoms and diseases
454	review_of_systems	review of symptom and disease
454	review_of_systems	review symptom disease
454	review_of_systems	ros
454	review_of_systems	cardiovascular review of systems
454	review_of_systems	cardiovascular review of system
454	review_of_systems	cardiovascular review system
454	review_of_systems	cardiac review of systems
454	review_of_systems	cardiac review of system
454	review_of_systems	cardiac review system
454	review_of_systems	social history/family history/review of systems
454	review_of_systems	social history family history review of system
454	review_of_systems	social history family history review system
454	review_of_systems	review_of_systems
454	review_of_systems	review of systems
454	review_of_systems	review of system
454	review_of_systems	review system
454	review_of_systems	systems review
454	review_of_systems	system review
454	review_of_systems	history of symptoms & diseases
454	review_of_systems	history of symptom disease
454	review_of_systems	history symptom disease
454	review_of_systems	review of symptoms and diseases
454	review_of_systems	review of symptom and disease
454	review_of_systems	review symptom disease
454	review_of_systems	ros
454	review_of_systems	cardiovascular review of systems
454	review_of_systems	cardiovascular review of system
454	review_of_systems	cardiovascular review system
454	review_of_systems	cardiac review of systems
454	review_of_systems	cardiac review of system
454	review_of_systems	cardiac review system
454	review_of_systems	social history/family history/review of systems
454	review_of_systems	social history family history review of system
454	review_of_systems	social history family history review system
454	review_of_systems	review_of_systems
454	review_of_systems	review of systems
454	review_of_systems	review of system
454	review_of_systems	review system
454	review_of_systems	systems review
454	review_of_systems	system review
